curriculum,education_level,streams
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Geography, History, French, Art and Design, Computer Science"
IGCSE,hsc,"English Language, Mathematics, Economics, Business Studies, Accounting, Geography, Environmental Management, Spanish, Music, Drama"
IGCSE,hsc,"English Language, Mathematics, Biology, Chemistry, Physics, Global Perspectives, Art and Design, Information and Communication Technology, Physical Education, Spanish"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, French, Psychology, Sociology, Drama"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Additional Mathematics, Economics, Business Studies, Information and Communication Technology, Design and Technology"
IGCSE,hsc,"English Language, Mathematics, Art and Design, Music, Drama, French, Geography, History, Global Perspectives, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, Computer Science, Environmental Management, Spanish, Psychology, Sociology"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Geography, French, Art and Design, Information and Communication Technology"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, Art and Design, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Additional Mathematics, Environmental Management, Spanish, Psychology, Sociology"
IGCSE,hsc,"English Language, Mathematics, Biology, Chemistry, Physics, Geography, French, Global Perspectives, Information and Communication Technology, Drama"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, History, Art and Design, Music, Physical Education, Computer Science"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Geography, Spanish, Drama, Design and Technology"
IGCSE,hsc,"English Language, Mathematics, Economics, Business Studies, Accounting, Environmental Management, French, Psychology, Sociology, Music"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Art and Design, Geography, Global Perspectives, Information and Communication Technology, Spanish"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, Art and Design, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Computer Science, Environmental Management, French, Psychology, Sociology"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, History, Geography, Spanish, Drama, Information and Communication Technology"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Art and Design, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Geography, Environmental Management, Business Studies, Economics, French, Psychology, Sociology, Information and Communication Technology"
IGCSE,hsc,"English Language, Mathematics, Biology, Chemistry, Physics, Geography, History, French, Art and Design, Computer Science"
IGCSE,hsc,"English Language, Mathematics, Economics, Business Studies, Accounting, Environmental Management, Spanish, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Global Perspectives, Art and Design, Information and Communication Technology, Physical Education, Spanish"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, French, Psychology, Sociology, Drama"
IGCSE,hsc,"English Language, Mathematics, Art and Design, Music, Drama, French, Geography, History, Global Perspectives, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, Computer Science, Environmental Management, Spanish, Psychology, Sociology"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Geography, French, Art and Design, Information and Communication Technology"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, Art and Design, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Additional Mathematics, Environmental Management, Spanish, Psychology, Sociology"
IGCSE,hsc,"English Language, Mathematics, Biology, Chemistry, Physics, Geography, French, Global Perspectives, Information and Communication Technology, Drama"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, History, Art and Design, Music, Physical Education, Computer Science"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Geography, Spanish, Drama, Design and Technology"
IGCSE,hsc,"English Language, Mathematics, Economics, Business Studies, Accounting, Environmental Management, French, Psychology, Sociology, Music"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Art and Design, Geography, Global Perspectives, Information and Communication Technology, Spanish"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, Art and Design, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Computer Science, Environmental Management, French, Psychology, Sociology"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, History, Geography, Spanish, Drama, Information and Communication Technology"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Art and Design, Music, Drama, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Geography, Environmental Management, Business Studies, Economics, French, Psychology, Sociology, Music"
IGCSE,hsc,"English Language, Mathematics, Biology, Chemistry, Physics, Geography, History, French, Art and Design, Computer Science"
IGCSE,hsc,"English Language, Mathematics, Economics, Business Studies, Accounting, Computer Science, Environmental Management, Spanish, Drama, Global Perspectives"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Art and Design, Geography, History, French, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Business Studies, Economics, Accounting, History, Geography, Spanish, Drama, Music"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Computer Science, Environmental Management, Psychology, Sociology, Global Perspectives"
IGCSE,hsc,"English Language, Mathematics, History, Geography, Global Perspectives, Economics, Art and Design, Music, Physical Education, Spanish"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, Geography, French, Global Perspectives, Information and Communication Technology, Drama"
IGCSE,hsc,"English Language, Mathematics, Economics, Business Studies, Accounting, Environmental Management, Psychology, Sociology, Art and Design, Physical Education"
IGCSE,hsc,"English Language, Mathematics, Physics, Chemistry, Biology, History, Geography, Spanish, Drama, Information and Communication Technology"
